featureid	f.var.fixed	f.var.random	f.var.residual	assay	icc
Blood haemogram_leukocytes	0.0554482358622708	0.622336483473556	0.322215280664173	<b>Routine bloods</b>	0.622336483473556
Blood haemogram_neutrophils	0.164349667274731	0.396224248152425	0.439426084572844	<b>Routine bloods</b>	0.396224248152425
Blood haemogram_erythrocytes	0.054711073423662	0.778406637689205	0.166882288887133	<b>Routine bloods</b>	0.778406637689205
Blood haemogram_hemoglobin	0.0737935551845701	0.657467992715622	0.268738452099808	<b>Routine bloods</b>	0.657467992715622
Blood haemogram_hematocrit	0.072272130703762	0.661219474539892	0.266508394756346	<b>Routine bloods</b>	0.661219474539892
Blood haemogram_mch	0.0664901849225979	0.787806330071273	0.145703485006129	<b>Routine bloods</b>	0.787806330071273
Blood haemogram_mchc	0.0748944604634968	0.302485744527101	0.622619795009402	<b>Routine bloods</b>	0.302485744527101
Blood haemogram_mcv	0.0658117926539394	0.765818166012181	0.168370041333879	<b>Routine bloods</b>	0.765818166012181
Blood haemogram_distrwidth	0.081251557662955	0.722270315701237	0.196478126635808	<b>Routine bloods</b>	0.722270315701237
Blood haemogram_platelets	0.0181684647713583	0.832630777643794	0.149200757584848	<b>Routine bloods</b>	0.832630777643794
Blood haemogram_monocytes	0.0730729535595255	0.553142801330408	0.373784245110066	<b>Routine bloods</b>	0.553142801330409
Blood haemogram_granim	0.0847066257415867	0.273720780068332	0.641572594190082	<b>Routine bloods</b>	0.273720780068332
Blood haemogram_crp	0.0567704072605042	0.495309969371302	0.447919623368193	<b>Routine bloods</b>	0.495309969371302
Body composition_weight	0.055509511394128	0.931453360929514	0.0130371276763576	<b>Body composition</b>	0.931453360929514
Body composition_bmi	0.0570036541518531	0.924328881748547	0.0186674640996001	<b>Body composition</b>	0.924328881748547
Composite methylation scores: blood_index_general_age	0.826577600518064	0.0799491818780426	0.0934732176038931	<b>Composite methylation scores</b>: blood	0.0799491818780426
Composite methylation scores: blood_horvath	0.815297979823769	0.138260533023327	0.0464414871529032	<b>Composite methylation scores</b>: blood	0.138260533023327
Composite methylation scores: blood_PhenoAge	0.639318339021353	0.261394132534799	0.0992875284438478	<b>Composite methylation scores</b>: blood	0.261394132534799
Composite methylation scores: blood_DunedinPACE	0.0267225435936243	0.800699400811338	0.172578055595038	<b>Composite methylation scores</b>: blood	0.800699400811338
Composite methylation scores: blood_CausAge	0.824875145297471	0.127754353710751	0.0473705009917788	<b>Composite methylation scores</b>: blood	0.127754353710751
Composite methylation scores: blood_DamAge	0.609875790875837	0.266014200474874	0.124110008649289	<b>Composite methylation scores</b>: blood	0.266014200474874
Composite methylation scores: blood_AdaptAge	0.257069632921071	0.436671544469436	0.306258822609494	<b>Composite methylation scores</b>: blood	0.436671544469436
Composite methylation scores: blood_AgeAccelGrimV2	0.119397494452873	0.772833402400952	0.107769103146175	<b>Composite methylation scores</b>: blood	0.772833402400952
Composite methylation scores: blood_globalMethylation_total	0.0791797063969493	0.620360910673312	0.300459382929739	<b>Composite methylation scores</b>: blood	0.620360910673312
Composite methylation scores: blood_globalMethylation_island	0.132806450615926	0.480531317905846	0.386662231478228	<b>Composite methylation scores</b>: blood	0.480531317905846
Composite methylation scores: blood_globalMethylation_opensea	0.110170862130982	0.607427520562938	0.28240161730608	<b>Composite methylation scores</b>: blood	0.607427520562938
Composite methylation scores: blood_globalMethylation_alu	0.00763889249940319	0.483142964389027	0.50921814311157	<b>Composite methylation scores</b>: blood	0.483142964389027
Composite methylation scores: blood_globalMethylation_line1	0.0420713042931107	0.427076145542268	0.530852550164621	<b>Composite methylation scores</b>: blood	0.427076145542268
Composite methylation scores: blood_idx_PCGTgen	0.375851273566516	0.416499983655007	0.207648742778477	<b>Composite methylation scores</b>: blood	0.416499983655007
Composite methylation scores: blood_idx_PCGTnonage	0.0463940520788747	0.318462810818269	0.635143137102856	<b>Composite methylation scores</b>: blood	0.318462810818269
Composite methylation scores: blood_idx_AGE	0.5576572948981	0.316033111956155	0.126309593145745	<b>Composite methylation scores</b>: blood	0.316033111956155
Composite methylation scores: blood_hepidish_Neutro	0.0949388340209768	0.391906192862235	0.513154973116788	<b>Composite methylation scores</b>: blood	0.391906192862235
Composite methylation scores: blood_WID_SMK_immune_hypoM_corr_z	0.244279235449667	0.695972275276709	0.0597484892736237	<b>Composite methylation scores</b>: blood	0.695972275276709
Composite methylation scores: blood_mCigarette	0.118226414372636	0.853319744526234	0.0284538411011303	<b>Composite methylation scores</b>: blood	0.853319744526234
Composite methylation scores: blood_smokingScore	0.0993549290176551	0.381124774572327	0.519520296410018	<b>Composite methylation scores</b>: blood	0.381124774572327
Composite methylation scores: buccal_idx_PCGTnonage_adj	0.093723603683723	0.171710099349226	0.734566296967051	<b>Composite methylation scores</b>: buccal	0.171710099349226
Composite methylation scores: buccal_idx_PCGTgen_adj	0.0446526248234045	0.58019352834282	0.375153846833775	<b>Composite methylation scores</b>: buccal	0.58019352834282
Composite methylation scores: buccal_WID_buccal_BC_adj	0.0886145882491199	0.44409344602514	0.46729196572574	<b>Composite methylation scores</b>: buccal	0.44409344602514
Composite methylation scores: buccal_relative_epithelial_age_adj	0.147155142256407	0.366156774630627	0.486688083112966	<b>Composite methylation scores</b>: buccal	0.366156774630627
Composite methylation scores: buccal_index_general_age_adj	0.0587207870940519	0.695630110280225	0.245649102625723	<b>Composite methylation scores</b>: buccal	0.695630110280225
Composite methylation scores: buccal_horvath_adj	0.0517385000681693	0.648246116629197	0.300015383302634	<b>Composite methylation scores</b>: buccal	0.648246116629197
Composite methylation scores: buccal_globalMethylation_total_adj	0.0633233769419288	0.320393935597566	0.616282687460506	<b>Composite methylation scores</b>: buccal	0.320393935597566
Composite methylation scores: buccal_globalMethylation_island_adj	0.13619792617859	0.286199658950028	0.577602414871382	<b>Composite methylation scores</b>: buccal	0.286199658950028
Composite methylation scores: buccal_globalMethylation_opensea_adj	0.0618258899563262	0.281554296346968	0.656619813696706	<b>Composite methylation scores</b>: buccal	0.281554296346968
Composite methylation scores: buccal_globalMethylation_alu_adj	0.0749685721724312	0.324978492941777	0.600052934885792	<b>Composite methylation scores</b>: buccal	0.324978492941777
Composite methylation scores: buccal_globalMethylation_line1_adj	0.103320742208781	0.0992419086923269	0.797437349098892	<b>Composite methylation scores</b>: buccal	0.0992419086923269
Composite methylation scores: buccal_ic	0.202937250011243	0.466282507281503	0.330780242707254	<b>Composite methylation scores</b>: buccal	0.466282507281503
Composite methylation scores: buccal_idx_AGE_adj	0.0227728890883196	0.662927768169706	0.314299342741974	<b>Composite methylation scores</b>: buccal	0.662927768169706
Composite methylation scores: buccal_WID_SMK_proximal_epithelial_hyperM_corr_z	0.121906866376727	0.759721352540494	0.118371781082779	<b>Composite methylation scores</b>: buccal	0.759721352540494
Composite methylation scores: buccal_WID_SMK_epithelial_hypoM_corr_z	0.156245346328709	0.721918893039919	0.121835760631372	<b>Composite methylation scores</b>: buccal	0.721918893039919
Composite methylation scores: buccal_WID_SMK_immune_hypoM_corr_z	0.090305164913754	0.489265772098384	0.420429062987862	<b>Composite methylation scores</b>: buccal	0.489265772098384
Composite methylation scores: buccal_mCigarette	0.0736496538923812	0.704007725223521	0.222342620884098	<b>Composite methylation scores</b>: buccal	0.704007725223521
Composite methylation scores: buccal_smokingScore	0.189518384932695	0.0618674664251523	0.748614148642153	<b>Composite methylation scores</b>: buccal	0.0618674664251523
Composite methylation scores: cervical_idx_PCGTnonage_adj	0.0656801997555789	0.23725247044957	0.697067329794851	<b>Composite methylation scores</b>: cervical	0.23725247044957
Composite methylation scores: cervical_idx_PCGTgen_adj	0.082257651334868	0.268293585705325	0.649448762959807	<b>Composite methylation scores</b>: cervical	0.268293585705325
Composite methylation scores: cervical_index_BC_discovery_version_adj	0.0964997465841126	0.507291686262597	0.39620856715329	<b>Composite methylation scores</b>: cervical	0.507291686262597
Composite methylation scores: cervical_index_OC_discovery_version_adj	0.144503059653753	0.463537202877323	0.391959737468924	<b>Composite methylation scores</b>: cervical	0.463537202877323
Composite methylation scores: cervical_index_EC_discovery_version_adj	0.0597555168392227	0.473881785597867	0.46636269756291	<b>Composite methylation scores</b>: cervical	0.473881785597867
Composite methylation scores: cervical_index_CIN_adj	0.0428991615151496	0.513150981607953	0.443949856876898	<b>Composite methylation scores</b>: cervical	0.513150981607953
Composite methylation scores: cervical_relative_epithelial_age_adj	0.066662372573434	0.577090214841801	0.356247412584765	<b>Composite methylation scores</b>: cervical	0.577090214841801
Composite methylation scores: cervical_index_general_age_adj	0.0894281582462933	0.392066608594519	0.518505233159188	<b>Composite methylation scores</b>: cervical	0.392066608594519
Composite methylation scores: cervical_horvath_adj	0.120996746407145	0.348403441619806	0.53059981197305	<b>Composite methylation scores</b>: cervical	0.348403441619806
Composite methylation scores: cervical_index_mQTL_adj	0.0604072579511352	0.593167833684082	0.346424908364783	<b>Composite methylation scores</b>: cervical	0.593167833684082
Composite methylation scores: cervical_globalMethylation_total_adj	0.0312503944043694	0.377349789013552	0.591399816582078	<b>Composite methylation scores</b>: cervical	0.377349789013552
Composite methylation scores: cervical_globalMethylation_island_adj	0.0696665445933528	0.281707803429026	0.648625651977621	<b>Composite methylation scores</b>: cervical	0.281707803429026
Composite methylation scores: cervical_globalMethylation_opensea_adj	0.0338829424078562	0.377922700023604	0.58819435756854	<b>Composite methylation scores</b>: cervical	0.377922700023604
Composite methylation scores: cervical_globalMethylation_alu_adj	0.0607888877520337	0.395132993480513	0.544078118767453	<b>Composite methylation scores</b>: cervical	0.395132993480513
Composite methylation scores: cervical_globalMethylation_line1_adj	0.0811935463572697	0.332373511624365	0.586432942018365	<b>Composite methylation scores</b>: cervical	0.332373511624365
Composite methylation scores: cervical_ic	0.0314293586737484	0.607438465053608	0.361132176272643	<b>Composite methylation scores</b>: cervical	0.607438465053608
Composite methylation scores: cervical_idx_AGE_adj	0.0748411200072952	0.351168746241594	0.573990133751111	<b>Composite methylation scores</b>: cervical	0.351168746241594
Composite methylation scores: cervical_WID_SMK_distal_epithelial_hyperM_corr_z	0.0750742896551197	0.740689019546371	0.18423669079851	<b>Composite methylation scores</b>: cervical	0.740689019546371
Composite methylation scores: cervical_WID_SMK_epithelial_hypoM_corr_z	0.101053462219628	0.450093638134154	0.448852899646218	<b>Composite methylation scores</b>: cervical	0.450093638134154
Composite methylation scores: cervical_WID_SMK_immune_hypoM_corr_z	0.271608489620805	0.512950057039187	0.215441453340008	<b>Composite methylation scores</b>: cervical	0.512950057039187
Composite methylation scores: cervical_mCigarette	0.106472187494849	0.745862733477727	0.147665079027424	<b>Composite methylation scores</b>: cervical	0.745862733477727
Composite methylation scores: cervical_smokingScore	0.136531680161422	0.180832775822139	0.68263554401644	<b>Composite methylation scores</b>: cervical	0.180832775822139
Cotinine LC/MS Quantitation_cotinine	0.344915613843266	0.347739180784856	0.307345205371878	<b>Functional clinical features</b>	0.347739180784856
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells	0.100458871785656	0.539114872864869	0.360426255349475	<b>Flow cytometry</b>: immune cells	0.539114872864869
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells_cd4_t_cells	0.0907567150339988	0.790782326408663	0.118460958557338	<b>Flow cytometry</b>: immune cells	0.790782326408663
Flow cytometry: T cell staining_lymphocytes_single_cells_live_t_cells_cd4_t_cells_activated_t_cells	0.189001170047478	0.674835963370629	0.136162866581893	<b>Flow cytometry</b>: immune cells	0.67483596337063
