variable	theo_contrib	pc	value
BMI	1.72413793103448	Dim.1	4.96157477567323
sedimentation rate	1.72413793103448	Dim.1	4.85873264255347
VO2peak	1.72413793103448	Dim.1	4.57786843830905
relative power (peak HR)	1.72413793103448	Dim.1	4.47671466040424
relative power (80% peak HR)	1.72413793103448	Dim.1	4.23806739854413
haematocrit	1.72413793103448	Dim.2	8.82731159795447
platelet volume	1.72413793103448	Dim.2	8.57169736594042
haemoglobin	1.72413793103448	Dim.2	6.52514904525075
erythrocytes	1.72413793103448	Dim.2	5.99339686257619
platelets	1.72413793103448	Dim.2	5.54579087374818
MCV	1.72413793103448	Dim.3	7.27966202773894
MCH	1.72413793103448	Dim.3	6.88963955052198
age at consent	1.72413793103448	Dim.3	6.35929216143112
lymphocytes	1.72413793103448	Dim.3	5.54334099015037
intima media thickness	1.72413793103448	Dim.3	5.2324097796903
cholesterol	1.72413793103448	Dim.4	8.11093584011807
HDL	1.72413793103448	Dim.4	7.58781785957171
LDL	1.72413793103448	Dim.4	6.49996402480271
red cell distribution	1.72413793103448	Dim.4	6.18333233546829
TSH	1.72413793103448	Dim.4	5.92043826149034
