tmp$x	estimate_visitIdM2	estimate_visitIdM4	estimate_visitIdM6	estimate_visitIdM2:compliancehigher compliance	estimate_visitIdM4:compliancehigher compliance	estimate_visitIdM6:compliancehigher compliance	p.value_visitIdM2	p.value_visitIdM4	p.value_visitIdM6	p.value_visitIdM2:compliancehigher compliance	p.value_visitIdM4:compliancehigher compliance	p.value_visitIdM6:compliancehigher compliance	spy	spy_sig	opposite_direction
leukocytes	-0.0371520237517026	-0.0554918135159261	-0.0746323859754208	0.0179593866999057	-0.0338775271682406	-0.0336197448209178	 	 	*	 	 	 	0.0788470986758498	0	
neutrophils	0.0117931555426448	0.0175677011956808	0.0105848215170779	0.0211684924459015	-0.047572563514997	-0.0143563120411098	 	 	 	 	 	 	-0.380404392710687	1	
erythrocytes	-0.0143040423604917	-0.0436360010366849	-0.0240472785388397	0.0226819593921709	0.0175537737315503	-0.00800082835217649	*	***	**	 	 	 	-0.0387420980937045	0	
haemoglobin	-0.0141288249349059	-0.0305341065089879	-0.0160941232372008	0.0233243572523312	0.0157249764117117	-0.0137804548529717	 	***	 	 	 	 	0.101867850991169	0	
haematocrit	-0.0162005249748188	-0.0399597468513012	-0.00872562521897	0.0108364697104234	0.00535441176627031	-0.0209666152488078	*	***	 	 	 	 	0.0879341752747281	0	
MCH	0.000878066707646208	0.0146932496723555	0.0151558053097805	-0.00134448015798654	-0.00460400927991596	-0.00655077267953236	 	**	**	 	 	 	0.239088494188048	0	
MCHC	0.00451372933390274	0.00966266750834066	-0.00885859971545424	0.0125607711899588	0.0159247818744434	0.00662530359236815	 	 	 	 	 	 	0.0838741823883157	0	
MCV	-0.00316136258822876	0.00365863800925371	0.014180841298817	-0.0112987157135188	-0.0157851694674879	-0.0139499389440758	 	 	**	 	 	 	0.240746431528828	0	
red cell distribution	-0.0119820989854478	-0.0130317967973521	-0.0167856401511461	0.00315099626543955	0.00496364499705671	-0.0121488372263396	*	*	*	 	 	 	0.0369047469282546	0	
platelets	0.00634194800512051	-0.0121481264700209	-0.0135875888690962	0.0121572021905135	-0.0178395653230926	-0.0131900257174279	 	 	 	 	 	 	-0.11987842191403	0	
monocytes	-0.0191645541677211	0.00814185078806899	0.0042266183610615	-0.0220196021019732	0.0825988981332968	0.079234413736742	 	 	 	 	 	 	0.15571256225807	0	
immature granulocytes	0.0686193423202048	0.139557540941454	-0.141967764441324	0.276564994402646	0.125158556294176	0.137577959988442	 	 	 	 	 	 	0.0685872054432295	0	
CRP	0.0119498499962236	0.114316436003634	-0.0278411008448045	0.0671450503018715	0.0612434598796324	0.137729876396119	 	 	 	 	 	 	-0.040960794639776	0	
FVC (% pred)	NA	NA	-0.0337854412744943	NA	NA	-0.0103796668261759	 	 	**	 	 	 	-0.116974978010677	0	
FEV1 (% pred)	NA	NA	-0.032267145334016	NA	NA	0.0121295098933412	 	 	*	 	 	 	-0.0953751188154691	0	
FEV1/FVC (pred)	NA	NA	0.0106867304406103	NA	NA	0.0232711009520851	 	 	 	 	 	 	-0.0409955255964666	0	
relative power (60% peak HR)	NA	NA	-0.120076258899125	NA	NA	-0.13849338129881	 	 	 	 	 	 	-0.154437981539235	0	
relative power (80% peak HR)	NA	NA	-0.0556383164486371	NA	NA	0.0038996996858284	 	 	 	 	 	 	-0.161177906170166	0	
relative power (peak HR)	NA	NA	-0.042411671912497	NA	NA	-0.0501769953210069	 	 	 	 	 	 	-0.254672186884114	0	
VO2peak	NA	NA	-0.0228157107266446	NA	NA	-0.0221581317053712	 	 	 	 	 	 	-0.254062297965815	0	
peak HR	NA	NA	0.0244933517424459	NA	NA	0.0269372523065636	 	 	*	 	 	 	-0.195423393194341	0	
HbA1c	NA	NA	0.00608477980187964	NA	NA	-0.00602109363510238	 	 	 	 	 	 	0.252880275013711	0	
cholesterol	NA	NA	0.0261103287608858	NA	NA	-0.0904850699939858	 	 	 	 	 	 	0.0751503017422505	0	
HDL	NA	NA	0.00644060044937064	NA	NA	-0.00948023593509592	 	 	 	 	 	 	-0.199816996530565	0	
