PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
4.4794679311078	2.04906275468056	2.97503675757378	5.89639123293209	3.1306916758931	7.06280710033884	6.21307275286848	6.14730547519242	6.04277144671779	5.64269404733595	4.64089224052408	5.78274360120552	7.45556183190855	6.98200776904041	8.05174040454049	8.28715194555515	9.13887660395451	8.68874878642983	8.70298415312104	8.876598550081	6.60444163934295	8.05174040454049	8.37297799573072	8.54884610578324	8.64289359132386	7.10452076564139	8.88545404359001	9.20547790503146	8.81158648303366	9.17210775836544
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	1.43424887412574	NA	NA	NA	4.08551375647509	NA	2.32878892443529	NA	4.17148995959596	NA	NA	NA	NA	NA	NA	1.58263367712984	NA	1.4257437915636	NA	1.58263367712984	NA	1.43424887412574	NA	NA
NA	NA	1.93881917702076	5.9578366376416	NA	NA	1.3282814087231	NA	NA	NA	NA	3.79717352623552	2.33185369789272	2.7947802131693	4.40572782011727	1.37229557758493	NA	NA	NA	1.31832120934146	4.23675719431598	NA	NA	NA	NA	NA	2.0871401257064	4.83529082064692	3.26175818970461	NA
1.9069638716297	NA	NA	2.21077605825294	NA	3.70934750333056	4.22812484050102	2.7675888287802	2.53665095084658	NA	NA	2.92751243828862	1.91644542111254	3.68617651233944	5.67445070703405	3.13083804260852	3.2172734226154	2.87704947500247	1.31294191795659	3.26208237763962	1.55096157923732	2.71380328022975	2.02519840294184	NA	2.45186613511617	NA	NA	4.76822513470226	2.16043111411245	NA
NA	NA	NA	NA	NA	1.63646825698632	NA	NA	1.95140240733167	1.84715419016539	NA	4.43242633455503	NA	2.07113533776547	NA	NA	1.57146041595034	1.68224706926056	NA	NA	2.85011255404683	NA	2.12835965654224	2.98541966915623	1.38887273804774	NA	NA	3.05427997953362	3.1661330511081	1.43584971838306
NA	NA	1.84377516207613	5.64795994057027	NA	NA	2.90849276616423	1.9743847077474	NA	NA	NA	1.66540461569722	5.31695891353267	2.28620808850338	2.10344514480498	NA	NA	NA	NA	2.09865666312183	5.0502675702566	2.30869010894539	NA	1.93285808458239	NA	NA	NA	1.3763752377403	5.28215824073265	NA
NA	NA	NA	NA	1.35800246377449	7.25801844317294	NA	NA	2.03916125877088	1.38979198873474	1.49360248803947	NA	NA	NA	NA	NA	NA	5.39152695415189	NA	NA	NA	NA	12.0536146525758	NA	NA	NA	3.0798441962356	NA	NA	NA
NA	NA	NA	2.03055615101046	NA	2.27253550651557	2.95714101007507	NA	1.97066538656179	NA	NA	3.24794244549143	3.34379483172185	2.7248992927399	NA	2.69466974047219	NA	1.94591955844942	3.68830180244243	3.0182101903188	1.93786519776169	3.13339990696826	2.97380153487453	NA	NA	NA	2.76982005956717	NA	2.02197058869443	2.36664425574729
2.62044641037306	2.41138508701927	1.68157391987563	NA	1.90289736214782	2.79697371687597	4.64846611418208	1.65127457045885	1.62334693792691	1.80351747566391	NA	NA	3.2014332947235	NA	1.87143309239913	2.00431395574795	1.81428347141094	NA	2.84482300985495	5.29650444234183	1.43616784355263	5.06643648372209	1.92735307525919	NA	NA	NA	NA	2.00980735456794	NA	NA
100.217562341591	NA	NA	NA	NA	NA	NA	NA	NA	NA	108.137189827568	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.1071157262166	NA	NA	NA	NA	NA	NA	NA	1.44192416321197	NA
45.8524101231858	1.96627940602282	NA	NA	NA	NA	NA	NA	NA	NA	43.6125185036814	1.6133071366656	NA	NA	NA	NA	NA	NA	NA	NA	36.7627550810295	NA	NA	NA	NA	NA	NA	NA	NA	NA
