tmp$x	estimate_visitIdM2	estimate_visitIdM4	estimate_visitIdM6	estimate_visitIdM2:compliancehigher compliance	estimate_visitIdM4:compliancehigher compliance	estimate_visitIdM6:compliancehigher compliance	p.value_visitIdM2	p.value_visitIdM4	p.value_visitIdM6	p.value_visitIdM2:compliancehigher compliance	p.value_visitIdM4:compliancehigher compliance	p.value_visitIdM6:compliancehigher compliance
WID-general-clock	-5.25866588264312e-05	0.00160183930337113	0.0135016306187991	-0.0126791325228407	0.0013416933595528	-0.00173167939478929	 	 	 	 	 	 
Horvath clock	-0.00390374862518783	0.00656403677954346	0.0143348978082434	-0.00269611552353518	-0.00826985329731849	0.0130858183993461	 	 	 	 	 	 
Global Methylation	-3.69068575174077e-05	0.000951243786278391	-0.000438014393359025	-0.000417852351189458	0.000980197313326983	0.000266442831535701	 	 	 	 	 	 
Global Methylation (islands)	-0.00295515291461953	0.000753266664575889	-0.00446423835759369	0.00625208630392577	0.0101474035600632	0.006568516934797	 	 	 	 	 	 
Global Methylation (OpenSea)	0.000223113883109146	0.000937857763403961	-0.000197275906956383	-0.000953406605715884	1.97115141177472e-05	-0.000183564601239763	 	 	 	 	 	 
Global Methylation (Alu)	0.000669664351285452	0.00135686745504273	7.29837421501473e-05	-0.00115307347673848	0.000816573912257957	0.000351000064235177	 	 	 	 	 	 
Global Methylation (LINE1)	0.00071185506344979	0.00129587395894104	-0.00211639359779174	-0.00257407973466703	0.00071083538033606	0.00203186365480322	 	 	 	 	 	 
PCGTgen	-0.00726535712481126	0.000918422031497935	-0.00856662558189799	0.0186353182418049	0.0582994948662731	0.0347460667734826	 	 	 	 	 	 
PCGTnonage	-0.0324626825907696	-0.0174670583819211	-0.0452460824426918	0.0356115078279894	0.039858347577797	0.0316660829159152	*	 	*	 	 	 
AGE	-0.00440960805952364	0.0020474434321768	-0.00469754444513879	0.0333935376866224	0.0785445626093763	0.0590858295902168	 	 	 	 	*	 
WID-SMK (immune hypoM)	0.00591523020419321	-0.135993636428544	-0.121988129130055	-0.0408193495092005	-0.169749495869338	-0.228294614360298	 	**	*	 	 	*
mCigarette	0.000171871783440791	-0.0169403145451036	-0.0248183275253454	0.00493704702868829	-0.00892191735118859	-0.0150213518282948	 	**	***	 	 	 
Smoking Score (Elliott)	-0.172304462248905	-0.340997628168301	-0.543630915400986	-0.263210358354498	-0.0708682594731362	-0.168164616201494	 	*	**	 	 	 
