tmp$x	estimate_visitIdM2	estimate_visitIdM4	estimate_visitIdM6	estimate_visitIdM2:compliancehigher compliance	estimate_visitIdM4:compliancehigher compliance	estimate_visitIdM6:compliancehigher compliance	p.value_visitIdM2	p.value_visitIdM4	p.value_visitIdM6	p.value_visitIdM2:compliancehigher compliance	p.value_visitIdM4:compliancehigher compliance	p.value_visitIdM6:compliancehigher compliance
PCGTnonage	-0.256851498982851	-0.162092840931715	0.101850828752144	0.0811981844220518	0.270126802719631	-0.606474463655371	 	 	 	 	 	 
PCGTgen	-0.145387762051636	-0.170305764102842	-0.0774819353572982	-0.0214678995547201	0.0932727773293893	-0.339764086821606	 	 	 	 	 	 
WID-general-clock	-0.141596635800816	-0.122965618927478	-0.0553377332729081	0.0840668881095532	0.575593723933582	0.108497618684694	 	 	 	 	*	 
Horvath clock	-0.192563973145531	-0.341526278697572	-0.180879942796005	-0.0957621487480608	0.105227601618391	0.0389889853725007	 	**	 	 	 	 
Global Methylation	0.0711833719608594	0.208178934409905	0.150285401838514	-0.372485827680594	-0.131448037389997	-0.798514024778896	 	 	 	 	 	 
Global Methylation (islands)	-0.195008586553771	-0.142520252432276	0.0652824201761308	0.0132953715628608	0.0943634952055431	-0.610700121267836	 	 	 	 	 	*
Global Methylation (OpenSea)	0.169381404578798	0.319171489399734	0.183955646134335	-0.444580234362539	-0.212853848565373	-0.746588359341915	 	 	 	 	 	 
Global Methylation (Alu)	0.206114946200911	0.446786506848269	0.203181932853174	-0.384922842481954	-0.253053609764566	-0.354211398337234	 	*	 	 	 	 
Global Methylation (LINE1)	0.297992482201631	0.493890407255826	0.372228225157434	-0.588849159934603	-0.507631385269067	-0.626489199640521	 	*	 	 	 	 
AGE	-0.145035914431944	-0.19697001966751	-0.0889591651469763	-0.0573659123182472	0.00396299635260338	-0.259494692132594	 	 	 	 	 	 
WID-SMK (immune hypoM)	-0.000847380996377282	0.0214357210134553	-0.00373949568735033	0.230709269977634	0.0123375264695925	0.393987909337867	 	 	 	 	 	 
mCigarette	0.0138607387054598	0.00195192263423682	0.00762307448471343	0.00688258255523619	0.00112294084915962	-0.0278517355775115	 	 	 	 	 	 
Smoking Score (Elliott)	-0.313934736235411	-0.0969333259582708	-0.40084098994404	-0.690371677384029	-0.251975673987781	-0.340181252468842	 	 	*	*	 	 
