tmp$x	estimate_visitIdM2	estimate_visitIdM4	estimate_visitIdM6	estimate_visitIdM2:compliancehigher compliance	estimate_visitIdM4:compliancehigher compliance	estimate_visitIdM6:compliancehigher compliance	p.value_visitIdM2	p.value_visitIdM4	p.value_visitIdM6	p.value_visitIdM2:compliancehigher compliance	p.value_visitIdM4:compliancehigher compliance	p.value_visitIdM6:compliancehigher compliance
PCGTnonage	0.0279874422545453	-0.00648450570435296	0.0590479259704451	-0.380108959960872	-0.0591326092412476	-0.425303486464112	 	 	 	 	 	 
PCGTgen	-0.0796017862270401	0.223739843774428	0.14335190549552	-0.30937710102378	0.285102859964225	0.134467261690137	 	 	 	 	 	 
WID-general-clock	-0.0799933832237873	0.139086928186785	0.0360168021766119	-0.224235322670413	-0.0796938154493346	-0.0934590605523153	 	 	 	 	 	 
Horvath clock	-0.104375858377061	0.0763438921789583	0.0891728788496334	-0.231019911904719	0.0791656522118047	0.175573189466735	 	 	 	 	 	 
Global Methylation	-0.0970019884714112	0.0168109675765345	-0.0279215231830907	0.0526848218833419	0.0832153782583243	0.206272684140227	 	 	 	 	 	 
Global Methylation (islands)	-0.122813723708655	0.10317548603458	-0.0162946675459096	0.0286650538144264	0.327817954913646	0.327634323226894	 	 	 	 	 	 
Global Methylation (OpenSea)	-0.0846351428266567	0.00531442096294109	-0.0232688018833134	0.0364399795358713	0.0483988672166207	0.16241009283299	 	 	 	 	 	 
Global Methylation (Alu)	-0.154013845799453	-0.0127632530625804	0.0319406043243552	0.197832941977699	0.132784289195295	0.236074128875811	*	 	 	 	 	 
Global Methylation (LINE1)	-0.106874817928021	0.00662113171516056	-0.011274693331034	0.0776268090293678	0.0772804924635256	0.158252247324007	 	 	 	 	 	 
AGE	-0.0919439838895	0.282265877525246	0.176993872093669	-0.424525302407436	0.229961237587358	0.0216612317221539	 	 	 	 	 	 
WID-SMK (immune hypoM)	-0.0796582104633157	-0.111282646023876	-0.0934868320585406	-0.26578118297314	-0.239081267622759	-0.344640174350153	 	 	 	 	 	 
mCigarette	-0.0127154749650381	0.0018176903888668	-0.00309089534506694	-0.0151040349252641	-0.0330160806814278	-0.0300130210243417	 	 	 	 	 	 
Smoking Score (Elliott)	0.0604987235644745	0.157410194591475	-0.0192119961025208	-0.432340877442039	-0.40707178656999	-0.321135541254284	 	 	 	 	 	 
