tmp$x	estimate_visitIdM2	estimate_visitIdM4	estimate_visitIdM6	estimate_visitIdM2:compliancehigher compliance	estimate_visitIdM4:compliancehigher compliance	estimate_visitIdM6:compliancehigher compliance	p.value_visitIdM2	p.value_visitIdM4	p.value_visitIdM6	p.value_visitIdM2:compliancehigher compliance	p.value_visitIdM4:compliancehigher compliance	p.value_visitIdM6:compliancehigher compliance
neutrophil prop.	0.0106178775739414	0.00807823977406523	-0.00756526939274176	0.030013182123851	-0.0361566769783525	-0.0100321235973944	 	 	 	 	 	 
PhenoAge	-0.00676377921386889	0.0136389172246761	-0.00936091147639581	0.0130151985503173	0.0112746123131124	0.0563933765735331	 	 	 	 	 	 
DamAge	-0.000388828527380884	-0.00465286824755067	0.0365062471402088	-0.00146887558840875	-0.0631079048959746	-0.0515907787008976	 	 	 	 	 	 
AdaptAge	-0.00556236735300693	0.0278104757802498	-0.0225071159028772	0.0186506537753084	0.0053856023316891	0.0140542164545954	 	 	 	 	 	 
CausAge	0.0113499700289157	0.0376303021404983	0.0326139103651986	0.0393804113064338	0.038705721247495	-0.00439926444200288	 	 	 	 	 	 
DNAmGrimAge (V2)	0.00303113144971328	0.00154575517695196	-0.0173318036429098	0.0162461691047337	-0.0187972861121728	-0.00198878809722635	 	 	 	 	 	 
AgeAccelGrim (V2)	0.00145066458086275	-0.0109089017705843	-0.0764489507500205	0.0496762901012963	-0.0574768998216829	-0.00608116372051594	 	 	*	 	 	 
DNAmGDF15	-0.0194282842277885	-0.0143854261819481	-0.0365777041249334	-0.00642585130564579	-0.0571835433332991	0.034198478980161	 	 	 	 	 	 
DNAmB2M	0.00146003319805315	0.00380372876145197	0.00399373860476522	0.00436709464356703	-0.0015522758103517	0.00274593998839308	 	 	 	 	 	 
DNAmCystatinC	0.00410003206237381	0.00241282129779521	0.003872969182038	0.000837992252578345	-0.00163530354260091	0.00490087773653473	 	 	 	 	 	 
DNAmTIMP1	-0.00269157212288788	0.000446719445229448	-0.000442892464391759	0.0109827330544144	0.00327079830149385	0.007203638005946	 	 	 	 	 	 
DNAmADM	-0.00396495791825869	0.0016128034295783	-0.0065172672350319	0.0110062066408262	0.0140030361985208	0.00956457419624702	 	 	 	 	 	 
DNAmPAI1	-0.00538386550704221	-0.00386332899881787	-0.00615429210554083	0.00419974183206748	0.00658124416749769	-0.000934615663947333	 	 	 	 	 	 
DNAmLeptin	-0.00149598487483223	-0.00294335065233516	-0.0141149259968251	-0.0286830738202329	0.0159826833448085	-0.0281430906921734	 	 	 	 	 	 
DNAmPACKYRS	-0.0046552908833588	-0.0220722106789327	-0.0532729973297363	-0.0143671122880949	-0.049138151663085	-0.06345159195983	 	 	***	 	*	*
DNAmlogCRP	0.0503856972017655	0.0458552783207794	-0.0831820743558442	0.0800428156339273	-0.119561922616768	-0.00492143696170908	 	 	 	 	 	 
DNAmlogA1C	0.00194038857239008	0.00199392312778049	0.00226537738713776	0.00131134311518997	0.000944141850238461	-0.000410562034936416	 	 	 	 	 	 
DunedinPACE	0.0120826883011406	-0.000940726182940028	0.00820185306135309	0.0112223070644067	-0.0126943973580843	-0.0244218789106612	 	 	 	 	 	 
