visitId	value	id
M0	0	1
M2	-0.304734717834857	1
M4	0.137412521488365	1
M6	-0.233488772925665	1
M0	0	2
M2	-0.51263176150344	2
M4	-0.35449856856332	2
M6	-0.661809157637533	2
M0	0	3
M2	-0.759370214209754	3
M4	-0.99505472303569	3
M6	-0.613890601471756	3
M0	0	4
M2	-0.373150391932749	4
M4	-0.384867522387899	4
M6	0.454136033987307	4
M0	0	5
M2	-0.377455737809127	5
M4	-0.197292141397221	5
M6	-0.85248462292089	5
M0	0	6
M2	-0.854374599349913	6
M4	0.114456085646766	6
M6	-1.07424581060766	6
M0	0	7
M2	-0.419982761571226	7
M4	-0.124196714741606	7
M6	-0.386440329865525	7
M0	0	8
M2	-0.242354595661116	8
M4	-0.0783954902651376	8
M6	0.0600530905515076	8
M0	0	9
M2	0.0137044791159362	9
M4	0.559217886612539	9
M6	0.0443581715554284	9
M0	0	10
M2	-0.748416753807563	10
M4	-0.613734943184817	10
M6	-0.702461512861616	10
M0	0	11
M2	-0.0163486782395301	11
M4	-0.476029888205447	11
M6	-0.700905905788551	11
M0	0	12
M2	-0.289328756511493	12
M4	-0.010522908789578	12
M6	0.634356457925207	12
M0	0	13
M2	-0.592079492270886	13
M4	-0.325906812260747	13
M6	-0.528036822748491	13
M0	0	14
M2	0.0891826854266206	14
M4	-0.254434849772318	14
M6	0.130441856993607	14
M0	0	15
M2	-0.739251745756475	15
M4	0.277678428772998	15
M6	-1.04600535714613	15
M0	0	16
M2	0.472016564390556	16
M4	0.564532286506141	16
M6	-0.16035147336055	16
M0	0	17
M2	0.280650726669256	17
M4	0.213823499887791	17
M6	0.382247081103576	17
M0	0	18
M2	-0.455816326087508	18
M4	0.115257793488299	18
M6	-0.0537889772380411	18
M0	0	19
M4	-0.0445330434594169	19
M6	-0.0925734241884284	19
M2	0.092464093006202	19
M0	0	20
M2	-0.458968663421773	20
M4	0.352763509981304	20
M6	-0.235419506675166	20
M0	0	21
M2	-0.410961778043335	21
M4	-0.200471217708399	21
M6	-0.153098191101055	21
