visitId	value	id
M0	0	1
M2	0.549457555917222	1
M4	-0.366274516386094	1
M6	0.0154594393571847	1
M0	0	2
M2	-0.282146074406676	2
M4	-0.0827519941199559	2
M6	-0.606774059754954	2
M0	0	3
M2	0.875743583785273	3
M4	0.61500217425729	3
M6	1.40726330286787	3
M0	0	4
M2	-0.254602773486361	4
M4	-0.780724475819265	4
M6	-0.350137124990597	4
M0	0	5
M2	-0.899417525105581	5
M4	-1.03646346996071	5
M6	-1.36234874863443	5
M0	0	6
M2	-1.12956733217116	6
M4	-0.12078022637802	6
M6	-1.06089369338149	6
M0	0	7
M2	-0.402282189222727	7
M4	-0.478210348506945	7
M6	-0.269403156240407	7
M0	0	8
M2	-0.538776551755618	8
M4	-0.712011644544984	8
M6	-0.413338398265807	8
M0	0	9
M2	-0.4636788196853	9
M4	0.773003522852575	9
M6	-0.403854389851151	9
M0	0	10
M2	-0.572042047660829	10
M4	-1.04250169137337	10
M6	-0.540655636419771	10
M0	0	11
M2	-0.933527812895208	11
M4	-1.05061850327233	11
M6	-0.684178242324391	11
M0	0	12
M2	-0.295279909168776	12
M4	0.450269198853931	12
M6	-0.173288404789648	12
M0	0	13
M2	-0.0294651930602471	13
M4	0.210492976130534	13
M6	-0.0297467690103161	13
M0	0	14
M2	0.04973287793393	14
M4	-0.139040822988898	14
M6	-0.0247153975259006	14
M0	0	15
M2	0.112276757637549	15
M4	0.511107001361328	15
M6	-0.346939877148458	15
M0	0	16
M2	0.719693927124139	16
M4	-0.559198844368094	16
M6	-0.260075621143841	16
M0	0	17
M2	0.0216408448208684	17
M4	0.167281408353426	17
M6	0.183869124165236	17
M0	0	18
M2	-0.57338487292149	18
M4	-0.46720619092593	18
M6	-0.215009787757092	18
M0	0	19
M4	-1.17690831315736	19
M6	-1.27241573819767	19
M2	-0.869552641349884	19
M0	0	20
M2	-0.203767684826731	20
M4	0.372210575017832	20
M6	0.184881656524838	20
M0	0	21
M2	-0.206903264752372	21
M4	-0.75077449675788	21
M6	-0.87898049729074	21
