visitId	value	id
M0	0	1
M2	-0.0513874684803485	1
M4	0.574192062029322	1
M6	0.0199131367879031	1
M0	0	2
M2	-0.372434828769809	2
M4	-0.0804896801657805	2
M6	-0.296648819574839	2
M0	0	3
M2	-0.0532347979232514	3
M4	0.0146783474620537	3
M6	0.236867467824525	3
M0	0	4
M2	-0.188600097662937	4
M4	-0.0535522091794248	4
M6	-0.00914478388606416	4
M0	0	5
M2	-0.621790745429345	5
M4	-0.379102100597261	5
M6	-0.578862545773526	5
M0	0	6
M2	-0.361807996959573	6
M4	0.814654166434047	6
M6	0.309754507357557	6
M0	0	7
M2	-0.333451556924348	7
M4	-0.398283335074597	7
M6	-0.360021226218519	7
M0	0	8
M2	0.244938888734629	8
M4	-0.236852190075188	8
M6	-0.182287819277604	8
M0	0	9
M2	-0.0631127399266328	9
M4	-0.0532727669730566	9
M6	-0.185643306233234	9
M0	0	10
M2	-0.167267272174225	10
M4	-0.0886409293472946	10
M6	0.413997550132164	10
M0	0	11
M2	-3.02299804529346	11
M4	-3.05208011024105	11
M6	-3.07610128983195	11
M0	0	12
M2	-0.275014900689774	12
M4	0.370653639656901	12
M6	-0.253480905927466	12
M0	0	13
M2	-0.0351655583682566	13
M4	-0.360962249284203	13
M6	-0.414097370137695	13
M0	0	14
M2	-0.07257306397444	14
M4	-0.135906114696127	14
M6	-0.408028297458929	14
M0	0	15
M2	0.893913751613805	15
M4	0.0884013477486752	15
M6	0.130934144949096	15
M0	0	16
M2	0.199793309948147	16
M4	0.0880346343197722	16
M6	-0.00999699899947909	16
M0	0	17
M2	0.0460602987401175	17
M4	-0.0255662279493103	17
M6	-0.165320643143667	17
M0	0	18
M2	0.0675858302041383	18
M4	-0.0409732602832422	18
M6	-0.228583838352635	18
M0	0	19
M2	-0.0109586577279156	19
M4	1.01628876147235	19
M6	1.15775320438946	19
M0	0	20
M2	-0.153105790075129	20
M4	0.811210555560687	20
M6	0.0104356352186991	20
M0	0	21
M2	-0.0358715605569458	21
M4	-0.123274525692204	21
M6	-0.0814149651627457	21
M0	0	22
M2	0.00406497806005168	22
M4	0.178731718086396	22
M6	-0.0280621747876244	22
M0	0	23
M2	-0.0987620818797201	23
M4	-0.109933302158357	23
M6	-0.208994041215981	23
