pcoa1	pcoa2	pcoa3	varname	plot
-6.1406277287186	-13.2403907427696	-2.01194468560975	Never smoker (control)	control vs M0
1.37551497383019	-3.63442569026649	-4.909444022717	Never smoker (control)	control vs M0
-1.52489378502377	2.14063366703427	27.7756474351561	Never smoker (control)	control vs M0
-6.18621305386674	9.97003128122233	-1.97250528864563	Never smoker (control)	control vs M0
-10.442483362189	-4.8242743651695	-2.38962961982516	Never smoker (control)	control vs M0
12.348796917805	-0.259867966879448	0.889289618837448	Never smoker (control)	control vs M0
14.5812214949972	7.17051786079047	3.18002698725024	Never smoker (control)	control vs M0
-12.5867895583302	-4.53603158789342	-2.60773356326208	Never smoker (control)	control vs M0
-9.59456572974568	3.60079596784137	-3.41448838616354	Never smoker (control)	control vs M0
-15.1305643422521	9.71731662773565	7.36656743905825	Never smoker (control)	control vs M0
5.73628128443795	0.178234832610417	-2.8150399041954	Never smoker (control)	control vs M0
6.63888140172558	-4.94633357993183	-3.8690377038	Never smoker (control)	control vs M0
-4.37008976089625	-0.394413260965653	-10.1972178344869	Never smoker (control)	control vs M0
8.29442690450608	-12.7546941727278	1.67208571480159	Never smoker (control)	control vs M0
9.48649905624083	-1.67016842687964	-0.957867605761047	Never smoker (control)	control vs M0
-3.51012142054054	11.8733217915135	-5.6281959121949	Never smoker (control)	control vs M0
1.52861865309311	1.97831841536347	-1.03045884964683	Never smoker (control)	control vs M0
-19.4554582397891	8.25291708483194	5.70571693747478	Never smoker (control)	control vs M0
-18.9725836656008	-11.0182229299162	4.76144172955206	Never smoker (control)	control vs M0
-1.95187759571306	5.96032311675882	-2.81597545905092	Never smoker (control)	control vs M0
10.2865242721828	3.28822496652254	4.40414760974624	Never smoker (control)	control vs M0
-6.72785442568838	-3.50012235925447	-7.78071921670935	Never smoker (control)	control vs M0
-2.42020120403163	5.05739857319701	-1.83026825594567	Never smoker (control)	control vs M0
2.16177048764717	5.20682515591446	0.0492345348966585	Never smoker (control)	control vs M0
10.4769512327969	-0.275611491474175	-3.55596373344312	Smoker baseline	control vs M0
-9.05551960753058	-3.53661285267476	-0.384809631170967	Smoker baseline	control vs M0
12.1040139242371	9.15697697838772	1.45889632350576	Smoker baseline	control vs M0
-2.94629871068268	-5.19664478660137	0.0944485000812557	Smoker baseline	control vs M0
4.2070346500408	-13.9424424676815	-3.65833662460784	Smoker baseline	control vs M0
-20.1321862977168	5.36603740460742	5.61911405271706	Smoker baseline	control vs M0
-5.40277028255975	-8.37645560268906	-2.32373956137431	Smoker baseline	control vs M0
4.2225771234124	5.58834285903305	-4.93517259832487	Smoker baseline	control vs M0
4.27510410088604	2.33516864396825	2.61121146584144	Smoker baseline	control vs M0
12.0324557179055	4.11576523604888	1.49072098605569	Smoker baseline	control vs M0
-15.8006966079548	5.47085243242163	1.40963876619357	Smoker baseline	control vs M0
5.93501154438011	7.81937758882164	-0.530282159466506	Smoker baseline	control vs M0
19.7319304962833	14.6397783349094	1.83630996078385	Smoker baseline	control vs M0
-3.73691273054705	3.13636331714382	-3.79074472808895	Smoker baseline	control vs M0
13.3235443113838	-5.56018611868965	3.75463849339193	Smoker baseline	control vs M0
10.6427635120475	-25.3486935224385	7.3490802505207	Smoker baseline	control vs M0
-9.02906872314088	-9.61633136730034	-2.92517673453888	Smoker baseline	control vs M0
-3.86237240733713	-11.9644077693215	4.23976847237619	Smoker baseline	control vs M0
0.531357558156172	-0.209922459721949	-3.92989127201046	Smoker baseline	control vs M0
10.6029002928038	6.98637990204323	3.05494714079335	Smoker baseline	control vs M0
14.0973092973364	-6.38203598181623	-3.09494563772107	Smoker baseline	control vs M0
-5.64133996828015	12.1783874643419	-5.36334343027306	Smoker baseline	control vs M0
-5.99508027038183	7.52272069154288	-4.11892358486354	Never smoker (control)	control vs M6
1.26381217416231	-4.91587674187913	-4.87861447056076	Never smoker (control)	control vs M6
0.544936241773789	-0.559277770147383	27.2976295297085	Never smoker (control)	control vs M6
-8.1249147442137	-1.54453591350613	-2.92768369777175	Never smoker (control)	control vs M6
-10.1955755457259	13.3748046401834	-0.0380670097999227	Never smoker (control)	control vs M6
14.3723467240935	-3.0570699256639	0.00383766537923768	Never smoker (control)	control vs M6
12.5657337479959	-4.226516498721	0.14552948499835	Never smoker (control)	control vs M6
-12.1060987630357	9.71879766800695	-3.93912314231823	Never smoker (control)	control vs M6
-10.077435871819	5.06663470573658	-1.24856022279133	Never smoker (control)	control vs M6
-14.7580481596876	-3.6698319035907	6.95807760219196	Never smoker (control)	control vs M6
5.61726669873149	-3.79294825745081	-4.80798760641975	Never smoker (control)	control vs M6
3.31010776412068	1.73494574565955	0.444620328738523	Never smoker (control)	control vs M6
-7.15740799094948	-2.51024990897637	-11.0834925466123	Never smoker (control)	control vs M6
8.10717343471108	6.22082420883665	-1.71390400921171	Never smoker (control)	control vs M6
9.36916445859523	5.36127940445337	-2.24487854278305	Never smoker (control)	control vs M6
-6.04893415500632	-9.13052210247218	-5.51535238604192	Never smoker (control)	control vs M6
0.960250567853911	0.486290008729071	-2.90584178281953	Never smoker (control)	control vs M6
-21.1628969356704	-4.87073208399525	7.00339993556751	Never smoker (control)	control vs M6
-17.6807945896189	5.9423363370576	3.4699377632289	Never smoker (control)	control vs M6
-1.67346559138259	-5.92560120117798	-3.43739279936479	Never smoker (control)	control vs M6
9.63864590603228	-9.63206690466828	2.60370228007995	Never smoker (control)	control vs M6
-7.03331652684617	3.26377695705311	-9.03908570105642	Never smoker (control)	control vs M6
-4.16657816753025	-2.7028514655545	-3.05881206545838	Never smoker (control)	control vs M6
2.42851541429069	-5.79594185843785	0.485186098234975	Never smoker (control)	control vs M6
11.6086591044355	-4.1061021113398	-6.03767204112612	M6 no smoking cessation	control vs M6
1.29320819231197	-16.1777694974654	2.85332945802104	M6 smoking cessation	control vs M6
11.1480690928334	-16.6337213820833	-1.64751600998499	M6 smoking cessation	control vs M6
4.98005734979467	6.11907027892885	1.75444870202057	M6 smoking cessation	control vs M6
16.3468237468439	12.2005316930892	7.65569837700434	M6 smoking cessation	control vs M6
-21.7731908359034	-12.1689107340696	7.18784862691104	M6 no smoking cessation	control vs M6
-2.51838126774777	25.9777478241379	2.50216338975904	M6 smoking cessation	control vs M6
7.49349393671546	-9.34419178194238	4.03066978572614	M6 no smoking cessation	control vs M6
16.7278823587492	-7.02785994447341	0.232722480794096	M6 no smoking cessation	control vs M6
13.1866989238126	8.11658890913096	0.0658234652838754	M6 smoking cessation	control vs M6
-1.90807326930956	-10.9155653332782	-3.79589901645461	M6 no smoking cessation	control vs M6
20.0305557552369	11.1904061078096	5.94317856636101	M6 no smoking cessation	control vs M6
-10.5981355060444	7.31874321769742	-3.92060820032581	M6 smoking cessation	control vs M6
-15.6967304878849	-6.85910839559581	8.70211463003393	M6 no smoking cessation	control vs M6
9.94651887322053	-5.85203753141772	2.05615231493961	M6 no smoking cessation	control vs M6
15.0279350086628	7.76118467752175	1.30486423660094	M6 smoking cessation	control vs M6
3.53777342296675	2.74905171187395	-2.72653162470806	M6 smoking cessation	control vs M6
-4.56915792282885	10.5451579944885	-1.89634977973049	M6 smoking cessation	control vs M6
-3.9484053669997	8.21438717702033	-0.916564952938141	M6 no smoking cessation	control vs M6
-8.4812903846817	1.77504231784179	-4.00306415187735	M6 smoking cessation	control vs M6
3.92645953554442	-6.43411660862125	-4.03822667112933	M6 no smoking cessation	control vs M6
-7.75817608022068	-2.80691642027124	-2.76078270543528	M6 smoking cessation	control vs M6
