tmp$x	estimate_visitIdM2	estimate_visitIdM4	estimate_visitIdM6	estimate_visitIdM2:compliancehigher compliance	estimate_visitIdM4:compliancehigher compliance	estimate_visitIdM6:compliancehigher compliance	p.value_visitIdM2	p.value_visitIdM4	p.value_visitIdM6	p.value_visitIdM2:compliancehigher compliance	p.value_visitIdM4:compliancehigher compliance	p.value_visitIdM6:compliancehigher compliance	spy	spy_sig	opposite_direction
KiR+ regulatory NK cells	0.067416552742771	0.0629121365342072	0.0198433289932093	-0.0164839984238941	-0.0157146528974506	0.0307846092786411	*	 	 	 	 	 	0.0897856651602011	0	
CD94+ regulatory NK cells	0.0579502824042601	0.0562560886174416	0.0473976808528612	-0.089443417089243	-0.0633070329378916	-0.0513626885816281	**	**	*	*	 	 	0.0447307645924468	0	
regulatory NK cells	0.154072460341101	0.124155845390917	0.208050256167724	-0.0641798578342879	0.100966564555122	-0.10922893652564	*	 	**	 	 	 	0.0868895661202433	0	
KiR+ defective NK cells	-0.0408141751646137	-0.0172667742138247	-0.038910768182328	-0.055664190134512	-0.0589495623898693	0.0292269749274666	 	 	 	 	 	 	0.151377633711507	0	
CD94+ defective NK cells	0.0958732406071388	0.0669217656658703	0.0679256747755411	0.08324989282661	0.0702385184680981	0.0768029039444299	*	 	 	 	 	 	-0.00769885328238502	0	
defective NK cells	-0.0800032160598317	-0.0134656483475142	-0.0816809051392111	-0.275566355537201	0.0528453887040537	-0.0956654881233039	 	 	 	 	 	 	-0.259816038140278	0	
KiR+ cytotoxic NK cells	-0.000409728719092409	0.00929043789047932	-0.0210339596728947	0.00966905658597294	0.0276490631464212	-0.00783925325073984	 	 	 	 	 	 	0.0432721527035626	0	
CD94+ cytotoxic NK cells	0.0135600510029201	0.0241763250167362	0.0116445190439718	-0.0282666940829101	-0.0188879732294446	-0.00927176409344805	 	 	 	 	 	 	-0.096916656616968	0	
cytotoxic NK cells	0.10764591059568	0.100288683224634	0.116602337720252	0.17438640751988	0.176890367268632	0.202559789701959	*	*	*	 	 	 	-0.427795786061588	1	
KiR+ CD8+ T cells	0.0262587507825907	0.0324286132577201	-0.0215238762154235	-0.0870149241749979	-0.0437115669555766	-0.0685297628337486	 	 	 	 	 	 	0.208468395461913	0	
CD94+ CD8+ T cells	0.100126083342831	0.0705407788445889	0.114144774381796	0.084141521357772	0.0193668246327924	0.0557430502405213	***	*	***	 	 	 	0.110309614028309	0	
CD56+ CD8+ T cells	0.0748723712374329	0.0609084339653202	0.0815485881548586	-0.00983342933430276	-0.0378576637931073	-0.0028293354010305	**	*	**	 	 	 	0.115172638893628	0	
KiR+ CD4+ T cells	-0.106603098656024	-0.043475023384092	-0.272012215492847	-0.674203144305539	-0.522999066907583	-0.835327496664386	 	 	 	 	 	 	0.250567566537495	0	
CD94+ CD4+ T cells	0.165815788218081	0.137110061636	0.17074023327614	0.113907479430025	-0.0273738242941843	0.0615319414736715	***	**	**	 	 	 	0.00324162243468843	0	
CD56+ CD4+ T cells	0.0770317498736603	0.0867063727458521	0.128066069254062	0.0563889647519257	0.0320235934343906	0.0286686853315007	*	*	**	 	 	 	0.313652391181927	1	
NK T cells	0.114590475699655	0.105575573067493	0.147970851944182	0.089119545274967	0.0415400413656232	0.0871694615889052	**	**	***	 	 	 	0.273651797153429	0	
intermediate Monocytes	0.0481251944620684	0.140805600375934	0.0289065678444438	0.0307717030298941	0.342227531433151	0.280319674217735	 	 	 	 	 	 	-0.0397909153858005	0	
classical Monocytes	-0.0192669067910319	-0.00952306430664991	-0.0177440387040858	-0.0949085591214338	-0.17586300466393	-0.142074498206358	 	 	 	 	*	 	0.38483043668393	1	
non classical Monocytes	0.0135936426858208	-0.00460003832617798	0.0154954835148929	0.0881521467559583	0.131136702688822	0.104715083256939	 	 	 	 	 	 	-0.392560476840769	1	
Monocytes	0.11586093597868	0.105217684620218	0.0979674102347381	-0.0312904273836664	0.049413490690621	0.0326208860467341	***	**	*	 	 	 	-0.125141839867531	0	
Plasma cells	0.0801881207302814	0.162794971579447	-0.00489572475858773	-0.0213738404708552	0.279290532738535	0.0612511111072958	 	*	 	 	 	 	0.399551617538845	1	
memory B cells	0.0260235027039903	0.0346511605569985	0.0285016371146105	-0.0301815981400034	0.0404838336481557	-0.0313917966645247	 	 	 	 	 	 	0.29859943977591	0	
naïve B cells	-0.0145267366464371	-0.0187842561234439	-0.0155040891772162	0.0138853427587588	-0.0238593599084955	0.0154442752456718	 	 	 	 	 	 	-0.29331839480927	0	
B cells	-0.0673976155954003	-0.0426031592347264	-0.0654726638590719	-0.0357264132462575	0.00999470063120691	-0.0980426009755129	**	 	*	 	 	 	-0.171590682347533	0	
