tmp$x	estimate_visitIdM2	estimate_visitIdM4	estimate_visitIdM6	estimate_visitIdM2:compliancehigher compliance	estimate_visitIdM4:compliancehigher compliance	estimate_visitIdM6:compliancehigher compliance	p.value_visitIdM2	p.value_visitIdM4	p.value_visitIdM6	p.value_visitIdM2:compliancehigher compliance	p.value_visitIdM4:compliancehigher compliance	p.value_visitIdM6:compliancehigher compliance	spy	spy_sig	opposite_direction
CD57-KLRG1- CD8+ T cells	-0.0205184174159783	-0.00982047512066619	-0.0489158758184663	-0.0457070121364969	-0.0296797087941239	-0.00312817808561001	 	 	*	 	 	 	-0.425428467591206	1	
CD57-KLRG1+ CD8+ T cells	0.00227576975658938	0.00672105985036937	0.035558629231967	0.062342195101417	0.0196826460914585	-0.00708012788269046	 	 	 	 	 	 	0.326836581977461	1	
CD57-CD28- CD8+ T cells	-0.0449755753007249	0.00643588775411939	0.0822272829263737	-0.127832101582215	0.0733363758201653	0.131509403688756	 	 	 	 	 	 	0.0252015720801647	0	
CD57-CD28+ CD8+ T cells	-0.0104825196425145	-0.00547243913290798	-0.0363671479465552	-0.00497099010625323	-0.028591435080743	-0.0216793124420528	 	 	*	 	 	 	-0.278930307941653	0	
CD57+KLRG1- CD8+ T cells	-0.0215047802247712	-0.0692570529301148	-0.0107929106733384	0.0676025664778553	0.0157349464873082	0.0303318329293251	 	 	 	 	 	 	-0.216216216393718	0	
CD57+KLRG1+ CD8+ T cells	0.0627633301786545	0.0448838524069919	0.0960657109832352	0.0340008680260519	0.0657291130853978	0.0136164228773324	 	 	*	 	 	 	0.320933626145137	1	
CD57+CD28+ CD8+ T cells	-0.0387041439273872	-0.0530627208499941	-0.0364112806833174	0.136879868722199	-0.0403411522976393	-0.0262393503578576	 	 	 	 	 	 	0.184440842787682	0	
CD57+CD28- CD8+ T cells	0.0686622155599749	0.0374989387602922	0.10959255519805	0.00959412212602057	0.0883928672059491	0.0381507120404088	 	 	*	 	 	 	0.26612641815235	0	
CD8+ TEMRA cells	0.066250150209132	0.0517651536745418	0.112929050731504	0.00744497729658659	0.10606403330806	0.0168639963038422	 	 	*	 	 	 	0.138341843391351	0	
CD8+ TEM cells	-0.00320861652764907	-0.0112155319927461	0.0741001244485764	-0.0558771336198283	0.0504552991823783	0.0726810122534929	 	 	 	 	 	 	0.247487844408428	0	
CD8+ TN cells	0.0128842630321705	0.021632529107791	-0.0318445334061434	-0.0183392873933637	-0.0189564144817872	0.0199132357172307	 	 	 	 	 	 	-0.467136722500144	1	
CD8+ TCM cells	-0.0444524537472865	-0.0492430006848079	-0.0362236245224457	0.0338433803394892	-0.0355832280925839	-0.0448118243724974	 	 	 	 	 	 	0.349122736215944	1	
CD8+ TREG	0.0331817807468925	0.0162933016913572	0.0676818235454094	0.112306326412923	0.0488577313678062	0.0300148831351135	 	 	 	 	 	 	0.21556789190678	0	
PD-1+ CD8+ T cells	-0.0182570880754722	-0.038547103069586	-0.00973268403380653	0.125982395659355	0.0448734531105598	0.0314332344991701	 	 	 	 	 	 	-0.241196257405017	0	
CD25+ CD8+ T cells	-0.0115956278543448	-0.0342034097833044	-0.0811336234706167	0.0975523375783627	-0.0374345478133264	-0.00213594760825914	 	 	*	 	 	 	0.130480590427695	0	
CD8+ T cells	0.0159566807792566	0.00524453766116661	0.00663413302643455	0.0532116165413489	0.0556765376954046	0.0108851328102957	 	 	 	 	 	 	-0.0614337241643154	0	
CD4+ TEMRA cells	-0.10624908058183	-0.0376811727022681	0.156951223653533	-0.15685795542526	0.0814025806586233	0.0582846891893969	 	 	 	 	 	 	0.00166166820184033	0	
CD4+ TEM cells	-0.066452853561405	0.024768914159957	0.14746908472055	-0.142844581163262	0.0694690167065854	-0.0369411064417634	 	 	*	 	 	 	0.236183813153151	0	
CD4+ TN cells	0.0422476203598485	0.0435488461680577	0.015118500860504	-0.0425175031010971	-0.0130767442957114	0.0043693559763114	 	 	 	 	 	 	-0.0850624099358638	0	
CD4+ TCM cells	-0.0268233945616089	-0.0311624648931356	-0.0168766362032404	0.0364471846650461	0.00642130467643281	-0.00252939870361611	 	 	 	 	 	 	0.063454759159026	0	
CD4+ TREG	0.0247760153412743	0.0161437493671793	0.0192061315917089	0.0880830680319144	-0.0196195588682703	0.0042921861364179	 	 	 	 	 	 	0.143314424635332	0	
HLA-DR+ CD4+ cells	-0.039462302690899	0.0291752740308758	0.0756638996933322	-0.0710409293197224	-0.116775520441094	-0.0871308578851975	 	 	 	 	 	 	-0.0149108589951378	0	
PD-1+ CD4+ T cells	-0.0204794409338214	-0.0592958253358546	-0.0296733224042437	0.105516485963865	0.0245175325950432	-0.00491198591526418	 	 	 	 	 	 	-0.364859390127628	1	
CD25+ CD4+ T cells	-0.0343404648333993	-0.0674217482736143	-0.0835011895810268	0.153492101438906	-0.0138859657120802	-0.00915302192130295	 	*	**	**	 	 	-0.330213146396051	1	
CD4+ T cells	-0.00859066313789349	-0.00244230421488259	-0.0177066883005921	-0.0373460509678051	-0.0433029928528176	-0.0233913628690065	 	 	 	*	*	 	0.0389805097771284	0	
T cells	0.00566756921351217	0.0123741135910085	-0.0112052656452234	0.00607294147120092	-0.0451425259380896	-0.0258347197251545	 	 	 	 	 	 	0.243851047649437	0	
