pc	Standard deviation	Proportion of Variance	Cumulative Proportion	tissue
PC1	185.862971924592	0.88645	0.88645	Buccal sample
PC2	20.2314126683104	0.0105	0.89696	Buccal sample
PC3	16.1322830893946	0.00668	0.90363	Buccal sample
PC4	15.4004440370009	0.00609	0.90972	Buccal sample
PC5	13.7935309171429	0.00488	0.9146	Buccal sample
PC1	72.0072570901057	0.13305	0.13305	Blood sample
PC2	66.4056049675532	0.11316	0.24621	Blood sample
PC3	62.0631826283933	0.09884	0.34505	Blood sample
PC4	45.3953090660812	0.05288	0.39793	Blood sample
PC5	41.8355173333893	0.04491	0.44284	Blood sample
PC1	192.433546816662	0.95024	0.95024	Cervical sample
PC2	21.8112537688083	0.01221	0.96244	Cervical sample
PC3	15.2246686258161	0.00595	0.96839	Cervical sample
PC4	11.0118086755104	0.00311	0.9715	Cervical sample
PC5	9.74354714840604	0.00244	0.97394	Cervical sample
