sampletype	type	rowname	value
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.252898407011201
buccal	Never smoker (control)	epithelial_hypoM	-0.973293189168631
buccal	Never smoker (control)	immune_hypoM	0.459400148250671
buccal	Never smoker (control)	proximal_epithelial_hyperM	-1.25236050237461
buccal	Never smoker (control)	distal_epithelial_hyperM	0.606776714351963
buccal	Never smoker (control)	epithelial_hypoM	-0.746471550808011
buccal	Never smoker (control)	immune_hypoM	-0.403337767210243
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.390047957239123
buccal	Never smoker (control)	distal_epithelial_hyperM	0.471102457883099
buccal	Never smoker (control)	epithelial_hypoM	-0.977247250343365
buccal	Never smoker (control)	immune_hypoM	-0.240041360705818
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.14104222222937
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.974127593079332
buccal	Never smoker (control)	epithelial_hypoM	-0.564939175064331
buccal	Never smoker (control)	immune_hypoM	0.00496918558861851
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.943963097643353
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.919654241789524
buccal	Never smoker (control)	epithelial_hypoM	-0.505255786277151
buccal	Never smoker (control)	immune_hypoM	0.284042720339064
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.499885033172956
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.790536464534447
buccal	Never smoker (control)	epithelial_hypoM	0.525438919323794
buccal	Never smoker (control)	immune_hypoM	-0.225419270004866
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.726788383184818
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.283431157544553
buccal	Never smoker (control)	epithelial_hypoM	-1.32500230164359
buccal	Never smoker (control)	immune_hypoM	-1.07430601100891
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.947023283404213
buccal	Never smoker (control)	distal_epithelial_hyperM	0.416988957784356
buccal	Never smoker (control)	epithelial_hypoM	-0.871893291340853
buccal	Never smoker (control)	immune_hypoM	-0.713767964782326
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.926591342270358
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.718139227474283
buccal	Never smoker (control)	epithelial_hypoM	-0.265743666036569
buccal	Never smoker (control)	immune_hypoM	-0.961483581013739
buccal	Never smoker (control)	proximal_epithelial_hyperM	0.119387709915006
buccal	Never smoker (control)	distal_epithelial_hyperM	-1.48421115271964
buccal	Never smoker (control)	epithelial_hypoM	-0.204420846562764
buccal	Never smoker (control)	immune_hypoM	0.343884739768046
buccal	Never smoker (control)	proximal_epithelial_hyperM	-1.1405300919793
buccal	Never smoker (control)	distal_epithelial_hyperM	-1.47667655890195
buccal	Never smoker (control)	epithelial_hypoM	-0.5548549059226
buccal	Never smoker (control)	immune_hypoM	-0.40765815095282
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.438560899288548
buccal	Never smoker (control)	distal_epithelial_hyperM	-1.20915894719429
buccal	Never smoker (control)	epithelial_hypoM	-0.24223775316409
buccal	Never smoker (control)	immune_hypoM	-0.178203671161664
buccal	Never smoker (control)	proximal_epithelial_hyperM	-1.10321014054564
buccal	Never smoker (control)	distal_epithelial_hyperM	0.14935353139348
buccal	Never smoker (control)	epithelial_hypoM	-0.722017760878106
buccal	Never smoker (control)	immune_hypoM	-1.64053424956085
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.540951252594741
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.542213662646044
buccal	Never smoker (control)	epithelial_hypoM	-0.629886479242963
buccal	Never smoker (control)	immune_hypoM	-1.19666291012391
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.273929701588725
buccal	Never smoker (control)	distal_epithelial_hyperM	0.318774625616685
buccal	Never smoker (control)	epithelial_hypoM	-0.559845180700675
buccal	Never smoker (control)	immune_hypoM	-1.03303240078699
buccal	Never smoker (control)	proximal_epithelial_hyperM	-0.236645893035262
buccal	Never smoker (control)	distal_epithelial_hyperM	-0.655104981151169
buccal	Never smoker (control)	epithelial_hypoM	-0.401838407251561
