tmp$x	estimate_visitIdM2	estimate_visitIdM4	estimate_visitIdM6	estimate_visitIdM2:compliancehigher compliance	estimate_visitIdM4:compliancehigher compliance	estimate_visitIdM6:compliancehigher compliance	p.value_visitIdM2	p.value_visitIdM4	p.value_visitIdM6	p.value_visitIdM2:compliancehigher compliance	p.value_visitIdM4:compliancehigher compliance	p.value_visitIdM6:compliancehigher compliance	spy	spy_sig	opposite_direction
DNAmGrimAgeV2	0.00303113144971328	0.00154575517695196	-0.0173318036429098	0.0162461691047337	-0.0187972861121728	-0.00198878809722635	 	 	 	 	 	 	0.647066510479193	1	
DNAmGDF15	-0.0194282842277885	-0.0143854261819481	-0.0365777041249334	-0.00642585130564579	-0.0571835433332991	0.034198478980161	 	 	 	 	 	 	0.570233895745395	1	
DNAmB2M	0.00146003319805315	0.00380372876145197	0.00399373860476522	0.00436709464356703	-0.0015522758103517	0.00274593998839308	 	 	 	 	 	 	0.597761227101268	1	
DNAmCystatinC	0.00410003206237381	0.00241282129779521	0.003872969182038	0.000837992252578345	-0.00163530354260091	0.00490087773653473	 	 	 	 	 	 	0.676161854380653	1	
DNAmTIMP1	-0.00269157212288788	0.000446719445229448	-0.000442892464391759	0.0109827330544144	0.00327079830149385	0.007203638005946	 	 	 	 	 	 	0.694890893119618	1	
DNAmADM	-0.00396495791825869	0.0016128034295783	-0.0065172672350319	0.0110062066408262	0.0140030361985208	0.00956457419624702	 	 	 	 	 	 	0.589572717140977	1	
DNAmPAI1	-0.00538386550704221	-0.00386332899881787	-0.00615429210554083	0.00419974183206748	0.00658124416749769	-0.000934615663947333	 	 	 	 	 	 	0.45106494228073	1	
DNAmLeptin	-0.00149598487483223	-0.00294335065233516	-0.0141149259968251	-0.0286830738202329	0.0159826833448085	-0.0281430906921734	 	 	 	 	 	 	0.417091337126329	1	
DNAmPACKYRS	-0.0046552908833588	-0.0220722106789327	-0.0532729973297363	-0.0143671122880949	-0.049138151663085	-0.06345159195983	 	 	***	 	*	*	0.309682477753572	1	←
DNAmlogCRP	0.0503856972017655	0.0458552783207794	-0.0831820743558442	0.0800428156339273	-0.119561922616768	-0.00492143696170908	 	 	 	 	 	 	0.27867067407417	0	
DNAmlogA1C	0.00194038857239008	0.00199392312778049	0.00226537738713776	0.00131134311518997	0.000944141850238461	-0.000410562034936416	 	 	 	 	 	 	0.373796768506491	1	
