varname	Principal_coordinate	Value	plot
Never smoker (control)	pcoa1	-7.17602290288571	control vs M0
Never smoker (control)	pcoa2	5.51004657025217	control vs M0
Never smoker (control)	pcoa1	0.636927519664781	control vs M0
Never smoker (control)	pcoa2	1.14298267084996	control vs M0
Never smoker (control)	pcoa1	1.34845836729104	control vs M0
Never smoker (control)	pcoa2	-1.20661862314071	control vs M0
Never smoker (control)	pcoa1	-2.08225752967642	control vs M0
Never smoker (control)	pcoa2	2.53640689185925	control vs M0
Never smoker (control)	pcoa1	-6.45337103081678	control vs M0
Never smoker (control)	pcoa2	1.6059368853279	control vs M0
Never smoker (control)	pcoa1	6.67511613986528	control vs M0
Never smoker (control)	pcoa2	-6.4319099361014	control vs M0
Never smoker (control)	pcoa1	-9.64694862834147	control vs M0
Never smoker (control)	pcoa2	-8.11739540705193	control vs M0
Never smoker (control)	pcoa1	-1.23345015276455	control vs M0
Never smoker (control)	pcoa2	1.91953742061771	control vs M0
Never smoker (control)	pcoa1	-0.95223071883889	control vs M0
Never smoker (control)	pcoa2	5.07909670768689	control vs M0
Never smoker (control)	pcoa1	2.26140379552107	control vs M0
Never smoker (control)	pcoa2	1.69655512539205	control vs M0
Never smoker (control)	pcoa1	-3.97793489941007	control vs M0
Never smoker (control)	pcoa2	6.19160787173579	control vs M0
Never smoker (control)	pcoa1	3.75899759811751	control vs M0
Never smoker (control)	pcoa2	8.23033300424392	control vs M0
Never smoker (control)	pcoa1	-5.51550582387235	control vs M0
Never smoker (control)	pcoa2	7.78423468342841	control vs M0
Never smoker (control)	pcoa1	-3.69374569102126	control vs M0
Never smoker (control)	pcoa2	-0.548664207590145	control vs M0
Never smoker (control)	pcoa1	-3.15096461640873	control vs M0
Never smoker (control)	pcoa2	-3.34920671041809	control vs M0
Never smoker (control)	pcoa1	-2.95512581735044	control vs M0
Never smoker (control)	pcoa2	-2.99634669025369	control vs M0
Never smoker (control)	pcoa1	-0.747310127660358	control vs M0
Never smoker (control)	pcoa2	7.31974365442266	control vs M0
Never smoker (control)	pcoa1	-8.28803741508138	control vs M0
Never smoker (control)	pcoa2	-14.4791823345444	control vs M0
Never smoker (control)	pcoa1	-9.25149357872618	control vs M0
Never smoker (control)	pcoa2	0.604152862532977	control vs M0
Never smoker (control)	pcoa1	-12.0985466162745	control vs M0
Never smoker (control)	pcoa2	-13.0822407962235	control vs M0
Never smoker (control)	pcoa1	-14.9077490466199	control vs M0
Never smoker (control)	pcoa2	4.17688309739747	control vs M0
Never smoker (control)	pcoa1	-7.6620890499964	control vs M0
Never smoker (control)	pcoa2	-1.98225029181222	control vs M0
Never smoker (control)	pcoa1	-6.5605499191485	control vs M0
Never smoker (control)	pcoa2	2.81835961650878	control vs M0
Never smoker (control)	pcoa1	2.99633525673043	control vs M0
Never smoker (control)	pcoa2	1.90230256075363	control vs M0
Smoker baseline	pcoa1	17.5614868209314	control vs M0
Smoker baseline	pcoa2	-7.69178587289273	control vs M0
Smoker baseline	pcoa1	-3.13470307530058	control vs M0
Smoker baseline	pcoa2	-5.78970907103735	control vs M0
Smoker baseline	pcoa1	-7.87086827250762	control vs M0
Smoker baseline	pcoa2	3.08814906734079	control vs M0
Smoker baseline	pcoa1	-0.206251530254707	control vs M0
Smoker baseline	pcoa2	7.42645588112406	control vs M0
Smoker baseline	pcoa1	3.46093880722981	control vs M0
Smoker baseline	pcoa2	9.48446206720011	control vs M0
Smoker baseline	pcoa1	5.28812819003345	control vs M0
Smoker baseline	pcoa2	4.05007200821758	control vs M0
Smoker baseline	pcoa1	7.5557485123281	control vs M0
Smoker baseline	pcoa2	3.29810010259946	control vs M0
Smoker baseline	pcoa1	3.66826865536979	control vs M0
Smoker baseline	pcoa2	-6.82507065773443	control vs M0
Smoker baseline	pcoa1	6.86364462601974	control vs M0
Smoker baseline	pcoa2	7.60931437928232	control vs M0
Smoker baseline	pcoa1	3.46137600121693	control vs M0
Smoker baseline	pcoa2	6.71396521616523	control vs M0
Smoker baseline	pcoa1	2.71464563210015	control vs M0
Smoker baseline	pcoa2	-8.84018067269045	control vs M0
Smoker baseline	pcoa1	2.12785637434186	control vs M0
Smoker baseline	pcoa2	4.03215469893025	control vs M0
Smoker baseline	pcoa1	3.49711738854194	control vs M0
Smoker baseline	pcoa2	6.46067955774131	control vs M0
Smoker baseline	pcoa1	12.5681129803564	control vs M0
Smoker baseline	pcoa2	-9.58108678946599	control vs M0
Smoker baseline	pcoa1	11.0511341639325	control vs M0
Smoker baseline	pcoa2	5.27138040460055	control vs M0
Smoker baseline	pcoa1	-4.44395509487584	control vs M0
