varname	Principal_coordinate	Value	plot
Never smoker (control)	pcoa1	-6.1406277287186	control vs M0
Never smoker (control)	pcoa2	-13.2403907427696	control vs M0
Never smoker (control)	pcoa1	1.37551497383019	control vs M0
Never smoker (control)	pcoa2	-3.63442569026649	control vs M0
Never smoker (control)	pcoa1	-1.52489378502377	control vs M0
Never smoker (control)	pcoa2	2.14063366703427	control vs M0
Never smoker (control)	pcoa1	-6.18621305386674	control vs M0
Never smoker (control)	pcoa2	9.97003128122233	control vs M0
Never smoker (control)	pcoa1	-10.442483362189	control vs M0
Never smoker (control)	pcoa2	-4.8242743651695	control vs M0
Never smoker (control)	pcoa1	12.348796917805	control vs M0
Never smoker (control)	pcoa2	-0.259867966879448	control vs M0
Never smoker (control)	pcoa1	14.5812214949972	control vs M0
Never smoker (control)	pcoa2	7.17051786079047	control vs M0
Never smoker (control)	pcoa1	-12.5867895583302	control vs M0
Never smoker (control)	pcoa2	-4.53603158789342	control vs M0
Never smoker (control)	pcoa1	-9.59456572974568	control vs M0
Never smoker (control)	pcoa2	3.60079596784137	control vs M0
Never smoker (control)	pcoa1	-15.1305643422521	control vs M0
Never smoker (control)	pcoa2	9.71731662773565	control vs M0
Never smoker (control)	pcoa1	5.73628128443795	control vs M0
Never smoker (control)	pcoa2	0.178234832610417	control vs M0
Never smoker (control)	pcoa1	6.63888140172558	control vs M0
Never smoker (control)	pcoa2	-4.94633357993183	control vs M0
Never smoker (control)	pcoa1	-4.37008976089625	control vs M0
Never smoker (control)	pcoa2	-0.394413260965653	control vs M0
Never smoker (control)	pcoa1	8.29442690450608	control vs M0
Never smoker (control)	pcoa2	-12.7546941727278	control vs M0
Never smoker (control)	pcoa1	9.48649905624083	control vs M0
Never smoker (control)	pcoa2	-1.67016842687964	control vs M0
Never smoker (control)	pcoa1	-3.51012142054054	control vs M0
Never smoker (control)	pcoa2	11.8733217915135	control vs M0
Never smoker (control)	pcoa1	1.52861865309311	control vs M0
Never smoker (control)	pcoa2	1.97831841536347	control vs M0
Never smoker (control)	pcoa1	-19.4554582397891	control vs M0
Never smoker (control)	pcoa2	8.25291708483194	control vs M0
Never smoker (control)	pcoa1	-18.9725836656008	control vs M0
Never smoker (control)	pcoa2	-11.0182229299162	control vs M0
Never smoker (control)	pcoa1	-1.95187759571306	control vs M0
Never smoker (control)	pcoa2	5.96032311675882	control vs M0
Never smoker (control)	pcoa1	10.2865242721828	control vs M0
Never smoker (control)	pcoa2	3.28822496652254	control vs M0
Never smoker (control)	pcoa1	-6.72785442568838	control vs M0
Never smoker (control)	pcoa2	-3.50012235925447	control vs M0
Never smoker (control)	pcoa1	-2.42020120403163	control vs M0
Never smoker (control)	pcoa2	5.05739857319701	control vs M0
Never smoker (control)	pcoa1	2.16177048764717	control vs M0
Never smoker (control)	pcoa2	5.20682515591446	control vs M0
Smoker baseline	pcoa1	10.4769512327969	control vs M0
Smoker baseline	pcoa2	-0.275611491474175	control vs M0
Smoker baseline	pcoa1	-9.05551960753058	control vs M0
Smoker baseline	pcoa2	-3.53661285267476	control vs M0
Smoker baseline	pcoa1	12.1040139242371	control vs M0
Smoker baseline	pcoa2	9.15697697838772	control vs M0
Smoker baseline	pcoa1	-2.94629871068268	control vs M0
Smoker baseline	pcoa2	-5.19664478660137	control vs M0
Smoker baseline	pcoa1	4.2070346500408	control vs M0
Smoker baseline	pcoa2	-13.9424424676815	control vs M0
Smoker baseline	pcoa1	-20.1321862977168	control vs M0
Smoker baseline	pcoa2	5.36603740460742	control vs M0
Smoker baseline	pcoa1	-5.40277028255975	control vs M0
Smoker baseline	pcoa2	-8.37645560268906	control vs M0
Smoker baseline	pcoa1	4.2225771234124	control vs M0
Smoker baseline	pcoa2	5.58834285903305	control vs M0
Smoker baseline	pcoa1	4.27510410088604	control vs M0
Smoker baseline	pcoa2	2.33516864396825	control vs M0
Smoker baseline	pcoa1	12.0324557179055	control vs M0
Smoker baseline	pcoa2	4.11576523604888	control vs M0
Smoker baseline	pcoa1	-15.8006966079548	control vs M0
Smoker baseline	pcoa2	5.47085243242163	control vs M0
Smoker baseline	pcoa1	5.93501154438011	control vs M0
Smoker baseline	pcoa2	7.81937758882164	control vs M0
Smoker baseline	pcoa1	19.7319304962833	control vs M0
Smoker baseline	pcoa2	14.6397783349094	control vs M0
Smoker baseline	pcoa1	-3.73691273054705	control vs M0
Smoker baseline	pcoa2	3.13636331714382	control vs M0
Smoker baseline	pcoa1	13.3235443113838	control vs M0
Smoker baseline	pcoa2	-5.56018611868965	control vs M0
Smoker baseline	pcoa1	10.6427635120475	control vs M0
Smoker baseline	pcoa2	-25.3486935224385	control vs M0
Smoker baseline	pcoa1	-9.02906872314088	control vs M0
Smoker baseline	pcoa2	-9.61633136730034	control vs M0
Smoker baseline	pcoa1	-3.86237240733713	control vs M0
Smoker baseline	pcoa2	-11.9644077693215	control vs M0
Smoker baseline	pcoa1	0.531357558156172	control vs M0
Smoker baseline	pcoa2	-0.209922459721949	control vs M0
