Family	rel.abund.	group
Tannerellaceae	0.0298038549715547	Never smoker (control)
Tannerellaceae	0.0237708719851577	Never smoker (control)
Tannerellaceae	0.000301633127935537	Never smoker (control)
Tannerellaceae	0.012398390672469	Never smoker (control)
Tannerellaceae	0.0316899772315413	Never smoker (control)
Tannerellaceae	0.0370091345701102	Never smoker (control)
Tannerellaceae	0.00944214278832257	Never smoker (control)
Tannerellaceae	0.0115905379063274	Never smoker (control)
Tannerellaceae	0.0214517990139515	Never smoker (control)
Tannerellaceae	0.0306509945750452	Never smoker (control)
Tannerellaceae	0.00630841121495327	Never smoker (control)
Tannerellaceae	0.0268938521759153	Never smoker (control)
Tannerellaceae	0.0416115966744831	Never smoker (control)
Tannerellaceae	0.0326750682083929	Never smoker (control)
Tannerellaceae	0.0697266481508551	Never smoker (control)
Tannerellaceae	0.0112884834663626	Never smoker (control)
Tannerellaceae	0.0140602322206096	Never smoker (control)
Tannerellaceae	0.0253571649452656	Never smoker (control)
Tannerellaceae	0.0284648405560098	Never smoker (control)
Tannerellaceae	0.0118860088787054	Never smoker (control)
Tannerellaceae	0.0646178092986604	Never smoker (control)
Tannerellaceae	0.0178383590462833	Never smoker (control)
Tannerellaceae	0.0241426173155328	Never smoker (control)
Tannerellaceae	0.0191552062868369	Never smoker (control)
Tannerellaceae	0.0575985612191774	Smoker baseline
Tannerellaceae	0.0774575691992254	M6 no smoking cessation
Tannerellaceae	0.0380152916644389	Smoker baseline
Tannerellaceae	0.0426011318381891	M6 smoking cessation
Tannerellaceae	0.0218887992023171	Smoker baseline
Tannerellaceae	0.0356560875300691	M6 smoking cessation
Tannerellaceae	0.0530773574251835	Smoker baseline
Tannerellaceae	0.0406408293085169	M6 smoking cessation
Tannerellaceae	0.128731646529772	Smoker baseline
Tannerellaceae	0.0152562574493445	M6 smoking cessation
Tannerellaceae	0.0124618514750763	Smoker baseline
Tannerellaceae	0.00708731851647974	M6 no smoking cessation
Tannerellaceae	0.0505157928320749	Smoker baseline
Tannerellaceae	0.040238939214914	M6 smoking cessation
Tannerellaceae	0.0463953157402513	Smoker baseline
Tannerellaceae	0.0479463679565513	M6 no smoking cessation
Tannerellaceae	0.0318055659740455	Smoker baseline
Tannerellaceae	0.0346119436367703	M6 no smoking cessation
Tannerellaceae	0.0248447204968944	Smoker baseline
Tannerellaceae	0.0233592285025449	M6 smoking cessation
Tannerellaceae	0.0149274265666919	Smoker baseline
Tannerellaceae	0.00819305824519589	M6 no smoking cessation
Tannerellaceae	0.0219298245614035	Smoker baseline
Tannerellaceae	0.093045411241664	M6 no smoking cessation
Tannerellaceae	0.0634381195128859	Smoker baseline
Tannerellaceae	0.0350585079321031	M6 smoking cessation
Tannerellaceae	0.0310142497904443	Smoker baseline
Tannerellaceae	0.0130013831258645	M6 no smoking cessation
Tannerellaceae	0.0269034005416792	Smoker baseline
Tannerellaceae	0.0138010350776308	M6 no smoking cessation
Tannerellaceae	0.0793013571407172	Smoker baseline
Tannerellaceae	0.0275356488310759	M6 smoking cessation
Tannerellaceae	0.0332552226155457	Smoker baseline
Tannerellaceae	0.0143602248865407	M6 smoking cessation
Tannerellaceae	0.0470072775879994	Smoker baseline
Tannerellaceae	0.0141060503059143	M6 smoking cessation
Tannerellaceae	0.0152801358234295	Smoker baseline
Tannerellaceae	0.0205722564288301	M6 no smoking cessation
Tannerellaceae	0.052557517765426	Smoker baseline
Tannerellaceae	0.0268948655256724	M6 smoking cessation
Tannerellaceae	0.0149040424663128	Smoker baseline
Tannerellaceae	0.00318674314850223	M6 no smoking cessation
Tannerellaceae	0.0531800215594682	Smoker baseline
Tannerellaceae	0.0519141720472184	M6 smoking cessation
