OTU	rel.abund.	group	Phylum	Family	Genus	Species	label
ASV_jhl_q2w	0	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.00662307888256772	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0.00292943873652034	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0.00295686456400742	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.013682745825603	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0.00318877551020408	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0.000818718490110743	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.0000430904468479338	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0.00706133508498235	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.00706133508498235	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0.0113309795549717	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0.00209098090237442	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.000604061149574834	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0.000604061149574834	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.000753366607025143	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0.0000470854129390715	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.0194142017535408	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.00263421316052895	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0.0012644223170539	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.00681842022448337	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0.00325186195321515	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0.00605786618444846	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.0124773960216998	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0.00027124773960217	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0.011214953271028	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.0169392523364486	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0.00116822429906542	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0.00575638959244762	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.00455906055721851	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0.0151047662905825	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.0300575570240887	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0.000980601151140482	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0.0131219955826946	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.0118227880992595	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.0431223505335477	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0.00114025085518814	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.0721208665906499	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0.0035377358490566	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.0652213352685051	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.000494773950151525	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.000817661488143908	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0.0000511038430089943	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.007733066017471	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0.00218221494817239	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0.0078015427769986	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0.00880960729312763	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0.0151890638740107	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.013830042369494	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
ASV_tuz_nft	0.0123910784235351	Never smoker (control)	Bacteroidota	Rikenellaceae	Alistipes	finegoldii	Alistipes <br>finegoldii
ASV_jhl_q2w	0.00507531106745252	Never smoker (control)	Firmicutes	Ruminococcaceae	Ruminococcus	bromii	Ruminococcus <br>bromii
ASV_mbt_8vr	0.010150622134905	Never smoker (control)	Firmicutes	Lachnospiraceae	Agathobacter	NA	Agathobacter sp.
