Factor1	Factor2	Factor3	Factor4	Factor5	Factor6	Factor7	Factor8	Factor9	Factor10	Factor11	Factor12	Factor13	Factor14	Factor15
10.6976099757555	10.2989048356634	9.06455615205072	3.75270113990231	5.36211504698824	NA	6.29389556687067	8.13428610353779	7.95248876553276	7.81006157202556	9.86921020748726	9.75429671953275	2.0707762866542	4.81253862379161	3.30780469043837
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	3.91745583328485	2.21270807767801	NA	NA	NA	1.42074904948929	NA	NA	NA	2.37775344261865	3.08483438642098	NA	NA	NA
2.15193690898396	6.3819327311413	2.40086385955611	NA	NA	NA	3.61561487492425	NA	NA	3.10273146562272	NA	NA	NA	2.03226381011443	NA
8.32283049143234	NA	8.89047153991434	3.07911405841665	NA	NA	NA	NA	3.65562699025337	NA	NA	NA	NA	NA	NA
30.4382671468206	1.33728969864574	7.12451884366669	NA	2.18803939670389	NA	NA	NA	4.86342296532594	1.30943534651012	NA	1.69218026243667	NA	NA	NA
NA	NA	NA	1.71664042556027	NA	1.96745286009857	NA	NA	NA	2.16909393549882	NA	NA	NA	NA	1.57197109412303
NA	4.16476353102236	NA	2.74375250372528	2.56750022977548	NA	3.90327777349759	NA	2.51098282965118	3.73996622736495	2.15018537642449	3.54378669548788	1.51525145817971	NA	NA
3.49932567464929	NA	7.06582397967224	2.83792436213364	NA	NA	2.34918897980279	1.87807268538031	5.15612408884734	1.43530567468647	1.74528312332691	2.78379912671239	1.65221685671069	2.87048869806582	NA
1.5126856289766	NA	2.04383839306249	1.96509868554404	NA	NA	NA	5.10493224430923	NA	1.49048965716135	1.93654541986089	2.12439512657896	2.00364444565371	NA	NA
